flight,start_index,truth_path_km,lstm_mean_error_km,lstm_median_error_km,lstm_p95_error_km,lstm_path_error_km,great_circle_mean_error_km,great_circle_median_error_km,great_circle_p95_error_km,great_circle_path_error_km,linear_mean_error_km,linear_median_error_km,linear_p95_error_km,linear_path_error_km
000432_1721725465,1,579.6318391483959,63.72909339961016,32.21094885930511,184.69114793993822,10.121114962158344,66.04727186412192,41.6112761422103,174.70571288663052,-10.321775891971015,66.02046600803163,41.687277810307364,174.58761724673914,-10.307533035278425
000432_1721725465,11,236.4475648675748,27.260238052588853,24.84647389127985,45.33738882709846,11.974588895061089,27.284577397324302,25.04297612787498,45.48943728100925,10.373813814857527,27.36004040774524,25.07741845194265,45.48386088630383,10.376157346385128
000432_1721725465,9,274.4211408473176,43.78554070492105,46.295488164539044,69.2350074320276,36.41461902345469,44.490624792361345,47.012344720196594,67.81993601980122,30.505795984237977,44.604815564856935,47.08376346470273,67.85175834974407,30.50972435859495
000445_1742996636,16,146.87245965339525,16.52187775723635,15.248836516009455,27.580886760730632,39.359186482343944,15.026828780427564,11.077940860936135,37.43633123043374,13.334818220734803,15.032314340705554,11.08930193221853,37.44974002700832,13.335161848312225
000445_1742996636,16,146.87245965339525,16.52187775723635,15.248836516009455,27.580886760730632,39.359186482343944,15.026828780427564,11.077940860936135,37.43633123043374,13.334818220734803,15.032314340705554,11.08930193221853,37.44974002700832,13.335161848312225
000445_1742996636,32,145.1551872653075,7.40241776492126,6.694025209718756,12.968644229472366,-11.434688413006171,7.490023246453592,6.616945420153961,13.824333084551018,-13.072564385905054,7.490435003971491,6.616940373074822,13.824649334363095,-13.072507755475215
000445_1744037431,1,1030.451907097155,234.67230279577947,181.78566707171763,532.7340564295904,-84.3654009241568,264.9225909009003,238.74803902545966,504.976082067441,-173.06615652221888,264.8681096694552,238.7324598196541,504.87524075838485,-173.03016816237357
000445_1744037431,9,150.917439222038,8.260124593487163,7.760262269976421,14.8353773197479,8.501284187356191,8.372441499099041,8.393146979190856,13.632295729685938,5.742583664763174,8.373895953824663,8.3944438646502,13.63328833662294,5.742741591227173
000445_1744037431,2,1018.35111892333,189.0584105765691,159.13412002745972,408.5654715509318,-46.850777001142774,235.2114329508641,223.8633481300879,418.71290077277683,-149.313954685324,235.179624459161,223.851413719892,418.60083598083855,-149.27670193996937
000446_1745027031,7,187.8028072016039,10.694582500075223,8.487226327166596,24.498515536146744,-13.018463038291003,10.658864712417055,8.699883646950354,24.382130889783713,-13.85759114462681,10.66594019212333,8.702494715991394,24.384412885072354,-13.857556207816685
000446_1745027031,41,1892.256841022221,285.81261678395674,260.88956597120637,583.8163053693532,-890.2591119036194,284.55610567024115,269.68573906309985,569.0286213911079,-935.268720256424,295.39939299304,276.9110891904862,575.2149368909398,-934.1514158956744
000446_1745027031,77,178.88286133923987,31.385867817895463,34.10586853085299,47.96455361680387,40.3478708042835,30.696189656329693,32.2345332006153,45.947248477652316,33.76293540594983,30.64028794778644,32.08024860132676,45.69771481589707,33.79356509732963
000447_1744940590,36,335.4414760948923,26.08890723393828,18.342436036767435,66.34603389220327,3.4033090006132056,26.313037352373005,17.25826310230299,66.73158487453294,-0.541492982822092,26.334599159984144,17.27696112550353,66.75705242009428,-0.5401386788184368
