flight,truth_gap_dist_km,truth_gap_co2_kg,truth_full_dist_km,truth_full_co2_kg,lstm_gap_dist_km,lstm_gap_dist_err_km,lstm_gap_co2_err_kg,lstm_full_dist_km,lstm_full_dist_err_km,lstm_full_co2_err_kg,great_circle_gap_dist_km,great_circle_gap_dist_err_km,great_circle_gap_co2_err_kg,great_circle_full_dist_km,great_circle_full_dist_err_km,great_circle_full_co2_err_kg,linear_gap_dist_km,linear_gap_dist_err_km,linear_gap_co2_err_kg,linear_full_dist_km,linear_full_dist_err_km,linear_full_co2_err_kg
0101b7_1776760562,1.6893747884453716,16.015272994462123,3044.0020159492146,28857.139111198558,1.768543705507642,0.07916891706227047,0.7505213337503241,3043.996947717005,-0.005068232209850976,-0.048046841349387255,1.7863363410999298,0.09696155265455819,0.9191955191652117,3043.9843134374332,-0.017702511781408248,-0.1678198116877502,1.7863363455560388,0.09696155711066723,0.9191955614091254,3043.9843134426396,-0.017702506575005827,-0.16781976233105525
0101b7_1776781633,249.28417830940765,2363.2140103731845,3395.2492215680013,32186.962620464652,341.40679961393647,92.12262130452882,873.3224499669333,3395.1759601922786,-0.07326137572272273,-0.6945178418514115,290.1967735407064,40.912595231298724,387.8514027927119,3394.213647285539,-1.0355742824622212,-9.817244197741857,290.22439408594676,40.940215776539105,388.11324556159076,3394.24601089936,-1.003210668641259,-9.510437138719135
0101ba_1776763510,1.2272304171659565,11.634144354733268,2336.1009181142526,22146.236703723116,1.2093073819736202,-0.01792303519233629,-0.16991037362334804,2336.148281006598,0.04736289234551805,0.4490002194355111,1.1939431638362958,-0.03328725332966065,-0.31556316156518294,2336.095035224173,-0.005882890079647041,-0.05576979795505395,1.19394316760866,-0.03328724955729645,-0.31556312580317036,2336.095035228655,-0.00588288559765715,-0.055769755465789786
0101ba_1776779495,19.546364355770493,185.29953409270428,2314.622442897841,21942.620758671535,22.33155715511309,2.785192799342596,26.40362773776781,2315.8489802182253,1.2265373203840682,11.627573797240967,21.244281621430908,1.697917265660415,16.096255678460732,2314.571424195923,-0.05101870191811031,-0.48365729418368575,21.24430053910864,1.6979361833381468,16.096435018045632,2314.571446838263,-0.050996059578210406,-0.4834426448014347
0101bc_1776764225,81.910656048669,776.5130193413821,2603.477764525878,24680.969207705322,83.17417124031905,1.2635151916500575,11.978124016842546,2603.5184365946966,0.04067206881882157,0.38557121240242853,78.73319194048976,-3.1774641081792367,-30.122359745539164,2603.476969712275,-0.0007948136026243446,-0.007534832952878787,78.73418218230319,-3.1764738663658107,-30.112972253147888,2603.4781632093122,0.00039868343446869403,0.00377951895876322
010206_1776784359,1.8437810883624417,17.479044717675947,3508.069544083049,33256.49927790731,1.769776107182719,-0.07400498117972276,-0.7015672215837718,3508.0941468585634,0.024602775514267705,0.23323431187525787,1.7360166312443863,-0.10776445711805538,-1.021607053479165,3508.0544766699722,-0.015067413076849334,-0.14283907596853168,1.7360166446684149,-0.10776444369402682,-1.0216069262193743,3508.054476686185,-0.01506739686419678,-0.1428389222725855
010208_1776720857,91.54484594445033,867.8451395533891,3521.55419069482,33384.3337277869,88.52672157480971,-3.018124369640617,-28.61181902419305,3522.62478634739,1.0705956525698639,10.14924678636231,75.30278986945574,-16.242056074994593,-153.97469159094877,3521.5540731874644,-0.00011750735575333238,-0.001113969732541591,75.30387142177246,-16.240974522677874,-153.96443847498625,3521.5553630853847,0.0011723905645339983,0.011114262551782304
01020b_1776740593,4.234618559612941,40.144183945130685,3530.5954516309266,33470.04488146119,22.970751473360114,18.736132913747173,177.6185400223232,3530.5978217374136,0.0023701064869783295,0.022468609496554565,22.957418444137847,18.722799884524907,177.49214290529613,3530.5953944118623,-5.721906427424983e-05,-0.0005424367293198884,22.957446831629472,18.72282827201653,177.49241201871672,3530.595428146621,-2.3484305529564153e-05,-0.00022263121642026817
010242_1776758587,90.73302093688854,860.1490384817033,3166.932403640433,30022.51918651131,84.59189624599529,-6.14112469089325,-58.21786206966801,3167.5330866472677,0.6006830068345153,5.694474904791205,74.75492939791505,-15.978091538973487,-151.47230778946866,3166.932354717892,-4.892254128208151e-05,-0.0004637856913541327,74.75585744904679,-15.97716348784175,-151.4635098647398,3166.933463782145,0.001060141711604956,0.010050143426014985
010244_1776760502,85.85755641214922,813.9296347871747,1814.903375535211,17205.2840000738,102.99043690941663,17.132880497267408,162.41970711409505,1815.0908748628187,0.1874993276078385,1.777493625722309,95.95977863893637,10.102222226787148,95.76906670994217,1814.897575833213,-0.005799701997830198,-0.05498117493943028,95.96095575364482,10.103399341495603,95.78022575737832,1814.8989208279809,-0.004454707230024724,-0.042230624540634386
